x,y
4,5.680478090518937
7,8.25762310048736
8,8.790334969786429
10,10.002459809370448
11,10.617376759652503
12,11.14028050670028
13,11.316253545027777
14,12.350196008170233
16,13.29484271536133
17,13.345610381926537
18,13.812535045968408
19,14.450320037061655
24,16.70088023171809
25,17.308361398107362
28,18.8036391403248
29,18.96424980461759
30,19.479741899410996
31,19.498554832608512
32,19.85209682075504
33,20.303880466299443
34,20.71960433402052
35,21.231196037251244
37,21.730845392643896
38,21.98088795200817
39,22.41642053906314
40,23.109436859346296
41,23.044946917705143
42,23.593457760500538
44,23.912989317467492
49,25.804802494179523
54,27.54196456089252
56,28.1694978830618
57,28.5671764040991
60,28.903069757456823
61,29.5766564399027
63,29.938699441684445
64,30.061373775347697
65,30.404123621577373
66,30.77299921894586
69,31.422345063665382
71,32.550947116262364
74,32.569768045062844
75,33.4123370480997
77,33.64754377452401
79,34.617016439810236
80,34.688692533845014
