x,y
1.0,-17.44939468492013
2.0,-14.691927362611672
3.0,-11.934460040303216
4.0,5.680478090518937
5.0,-6.419525395686305
6.0,-3.6620580733778496
7.0,8.25762310048736
8.0,8.790334969786429
9.0,4.610343893547519
10.0,10.002459809370448
11.0,10.617376759652503
12.0,11.14028050670028
13.0,11.316253545027777
14.0,12.350196008170233
15.0,21.15514782739825
16.0,13.29484271536133
17.0,13.345610381926537
18.0,13.812535045968408
19.0,14.450320037061655
20.0,34.942484438940525
21.0,37.69995176124898
22.0,40.45741908355744
23.0,43.2148864058659
24.0,16.70088023171809
25.0,17.308361398107362
26.0,51.48728837279127
27.0,54.24475569509973
28.0,18.8036391403248
29.0,18.96424980461759
30.0,19.479741899410996
31.0,19.498554832608512
32.0,19.85209682075504
33.0,20.303880466299443
34.0,20.71960433402052
35.0,21.231196037251244
36.0,79.06196159587583
37.0,21.730845392643896
38.0,21.98088795200817
39.0,22.41642053906314
40.0,23.109436859346296
41.0,23.044946917705143
42.0,23.593457760500538
43.0,98.36423285203502
44.0,23.912989317467492
45.0,103.87916749665192
46.0,106.63663481896037
47.0,109.39410214126883
48.0,112.15156946357729
49.0,25.804802494179523
50.0,117.6665041081942
51.0,120.42397143050266
52.0,123.18143875281112
53.0,125.93890607511958
54.0,27.54196456089252
55.0,131.4538407197365
56.0,28.1694978830618
57.0,28.5671764040991
58.0,139.72624268666183
59.0,142.4837100089703
60.0,28.903069757456823
61.0,29.5766564399027
62.0,150.75611197589566
63.0,29.938699441684445
64.0,30.061373775347697
65.0,30.404123621577373
66.0,30.77299921894586
67.0,164.54344858743795
68.0,167.3009159097464
69.0,31.422345063665382
70.0,172.81585055436332
71.0,32.550947116262364
72.0,178.33078519898024
73.0,181.08825252128867
74.0,32.569768045062844
75.0,33.4123370480997
76.0,189.36065448821404
77.0,33.64754377452401
78.0,194.87558913283095
79.0,34.617016439810236
80.0,34.688692533845014
